【73V32】中学校学習指導要領（平成20年告示：平成27年一部改正）コード表　Ver 3.2,,,
教科等,No,学習指導要領テキスト,学習指導要領コード
国語,66,(1) 書くことの能力を育成するため，次の事項について指導する。,7310213210000000
国語,67,ア  日常生活の中から課題を決め，材料を集めながら自分の考えをまとめること。,7310213211000000
国語,68,イ　集めた材料を分類するなどして整理するとともに，段落の役割を考えて文章を構成すること。,7310213212000000
国語,69,ウ　伝えたい事実や事柄について，自分の考えや気持ちを根拠を明確にして書くこと。,7310213213000000
国語,70,エ　書いた文章を読み返し，表記や語句の用法，叙述の仕方などを確かめて，読みやすく分かりやすい文章にすること。,7310213214000000
国語,71,オ　書いた文章を互いに読み合い，題材のとらえ方や材料の用い方，根拠の明確さなどについて意見を述べたり，自分の表現の参考にしたりすること。,7310213215000000
国語,72,(2) (1)に示す事項については，例えば，次のような言語活動を通して指導するものとする。,7310213220000000
国語,73,ア　関心のある芸術的な作品などについて，鑑賞したことを文章に書くこと。,7310213221000000
国語,74,イ　図表などを用いた説明や記録の文章を書くこと。,7310213222000000
国語,75,ウ　行事等の案内や報告をする文章を書くこと。,7310213223000000
国語,76,Ｃ　読むこと,7310213300000000
国語,77,(1) 読むことの能力を育成するため，次の事項について指導する。,7310213310000000
国語,78,ア　文脈の中における語句の意味を的確にとらえ，理解すること。,7310213311000000
国語,79,イ　文章の中心的な部分と付加的な部分，事実と意見などとを読み分け，目的や必要に応じて要約したり要旨をとらえたりすること。,7310213312000000
国語,80,ウ　場面の展開や登場人物などの描写に注意して読み，内容の理解に役立てること。,7310213313000000
国語,81,エ　文章の構成や展開，表現の特徴について，自分の考えをもつこと。,7310213314000000
国語,82,オ　文章に表れているものの見方や考え方をとらえ，自分のものの見方や考え方を広くすること。,7310213315000000
国語,83,カ　本や文章などから必要な情報を集めるための方法を身に付け，目的に応じて必要な情報を読み取ること。,7310213316000000
国語,84,(2) (1)に示す事項については，例えば，次のような言語活動を通して指導するものとする。,7310213320000000
国語,85,ア　様々な種類の文章を音読したり朗読したりすること。,7310213321000000
国語,86,イ　文章と図表などとの関連を考えながら，説明や記録の文章を読むこと。,7310213322000000
国語,87,ウ　課題に沿って本を読み，必要に応じて引用して紹介すること。,7310213323000000
国語,88,〔伝統的な言語文化と国語の特質に関する事項〕,7310213400000000
国語,89,(1) 「Ａ話すこと・聞くこと」，「Ｂ書くこと」及び「Ｃ読むこと」の指導を通して，次の事項について指導する。,7310213410000000
国語,90,ア　伝統的な言語文化に関する事項,7310213411000000
国語,91,(ｱ) 文語のきまりや訓読の仕方を知り，古文や漢文を音読して，古典特有のリズムを味わいながら，古典の世界に触れること。,7310213411100000
国語,92,(ｲ) 古典には様々な種類の作品があることを知ること。,7310213411200000
国語,93,イ　言葉の特徴やきまりに関する事項,7310213412000000
国語,94,(ｱ) 音声の働きや仕組みについて関心をもち，理解を深めること。,7310213412100000
国語,95,(ｲ) 語句の辞書的な意味と文脈上の意味との関係に注意し，語感を磨くこと。,7310213412200000
国語,96,(ｳ) 事象や行為などを表す多様な語句について理解を深めるとともに，話や文章の中の語彙《い》について関心をもつこと。,7310213412300000
国語,97,(ｴ) 単語の類別について理解し，指示語や接続詞及びこれらと同じような働きをもつ語句などに注意すること。,7310213412400000
国語,98,(ｵ) 比喩《ゆ》や反復などの表現の技法について理解すること。,7310213412500000
国語,99,ウ　漢字に関する事項,7310213413000000
国語,100,(ｱ) 小学校学習指導要領第２章第１節国語の学年別漢字配当表（以下「学年別漢字配当表」という。）に示されている漢字に加え，その他の常用漢字のうち300字程度から400字程度までの漢字を読むこと。,7310213413100001
国語,101,(ｲ) 学年別漢字配当表の漢字のうち900字程度の漢字を書き，文や文章の中で使うこと。,7310213413200000
国語,102,(2) 書写に関する次の事項について指導する。,7310213420000000
国語,103,ア　字形を整え，文字の大きさ，配列などについて理解して，楷《かい》書で書くこと。,7310213421000000
国語,104,イ　漢字の行書の基礎的な書き方を理解して書くこと。,7310213422000000
国語,105,〔第２学年〕,7310220000000000
国語,106,１　目標,7310222000000000
国語,107,(1) 目的や場面に応じ，社会生活にかかわることなどについて立場や考えの違いを踏まえて話す能力，考えを比べながら聞く能力，相手の立場を尊重して話し合う能力を身に付けさせるとともに，話したり聞いたりして考えを広げようとする態度を育てる。,7310222100000000
国語,108,(2) 目的や意図に応じ，社会生活にかかわることなどについて，構成を工夫して分かりやすく書く能力を身に付けさせるとともに，文章を書いて考えを広げようとする態度を育てる。,7310222200000000
国語,109,(3) 目的や意図に応じ，文章の内容や表現の仕方に注意して読む能力，広い範囲から情報を集め効果的に活用する能力を身に付けさせるとともに，読書を生活に役立てようとする態度を育てる。,7310222300000000
国語,110,２　内容,7310223000000000
国語,111,Ａ　話すこと・聞くこと,7310223100000000
国語,112,(1) 話すこと・聞くことの能力を育成するため，次の事項について指導する。,7310223110000000
国語,113,ア　社会生活の中から話題を決め，話したり話し合ったりするための材料を多様な方法で集め整理すること。,7310223111000000
国語,114,イ　異なる立場や考えを想定して自分の考えをまとめ，話の中心的な部分と付加的な部分などに注意し，論理的な構成や展開を考えて話すこと。,7310223112000000
国語,115,ウ　目的や状況に応じて，資料や機器などを効果的に活用して話すこと。,7310223113000000
国語,116,エ　話の論理的な構成や展開などに注意して聞き，自分の考えと比較すること。,7310223114000000
国語,117,オ　相手の立場や考えを尊重し，目的に沿って話し合い，互いの発言を検討して自分の考えを広げること。,7310223115000000
国語,118,(2) (1)に示す事項については，例えば，次のような言語活動を通して指導するものとする。,7310223120000000
国語,119,ア  調べて分かったことや考えたことなどに基づいて説明や発表をしたり，それらを聞いて意見を述べたりすること。,7310223121000000
国語,120,イ　社会生活の中の話題について，司会や提案者などを立てて討論を行うこと。,7310223122000000
国語,121,Ｂ　書くこと,7310223200000000
国語,122,(1) 書くことの能力を育成するため，次の事項について指導する。,7310223210000000
国語,123,ア  社会生活の中から課題を決め，多様な方法で材料を集めながら自分の考えをまとめること。,7310223211000000
国語,124,イ　自分の立場及び伝えたい事実や事柄を明確にして，文章の構成を工夫すること。,7310223212000000
国語,125,ウ  事実や事柄，意見や心情が相手に効果的に伝わるように，説明や具体例を加えたり，描写を工夫したりして書くこと。,7310223213000000
国語,126,エ  書いた文章を読み返し，語句や文の使い方，段落相互の関係などに注意して，読みやすく分かりやすい文章にすること。,7310223214000000
国語,127,オ　書いた文章を互いに読み合い，文章の構成や材料の活用の仕方などについて意見を述べたり助言をしたりして，自分の考えを広げること。,7310223215000000
国語,128,(2) (1)に示す事項については，例えば，次のような言語活動を通して指導するものとする。,7310223220000000
国語,129,ア　表現の仕方を工夫して，詩歌をつくったり物語などを書いたりすること。,7310223221000000
国語,130,イ　多様な考えができる事柄について，立場を決めて意見を述べる文章を書くこと。,7310223222000000
国語,131,ウ　社会生活に必要な手紙を書くこと。,7310223223000000
国語,132,Ｃ　読むこと,7310223300000000
国語,133,(1) 読むことの能力を育成するため，次の事項について指導する。,7310223310000000
国語,134,ア　抽象的な概念を表す語句や心情を表す語句などに注意して読むこと。,7310223311000000
国語,135,イ　文章全体と部分との関係，例示や描写の効果，登場人物の言動の意味などを考え，内容の理解に役立てること。,7310223312000000
国語,136,ウ　文章の構成や展開，表現の仕方について，根拠を明確にして自分の考えをまとめること。,7310223313000000
国語,137,エ　文章に表れているものの見方や考え方について，知識や体験と関連付けて自分の考えをもつこと。,7310223314000000
国語,138,オ　多様な方法で選んだ本や文章などから適切な情報を得て，自分の考えをまとめること。,7310223315000000
国語,139,(2) (1)に示す事項については，例えば，次のような言語活動を通して指導するものとする。,7310223320000000
国語,140,ア　詩歌や物語などを読み，内容や表現の仕方について感想を交流すること。,7310223321000000
国語,141,イ　説明や評論などの文章を読み，内容や表現の仕方について自分の考えを述べること。,7310223322000000
国語,142,ウ　新聞やインターネット，学校図書館等の施設などを活用して得た情報を比較すること。,7310223323000000
国語,143,〔伝統的な言語文化と国語の特質に関する事項〕,7310223400000000
国語,144,(1) 「Ａ話すこと・聞くこと」，「Ｂ書くこと」及び「Ｃ読むこと」の指導を通して，次の事項について指導する。,7310223410000000
国語,145,ア　伝統的な言語文化に関する事項,7310223411000000
国語,146,(ｱ) 作品の特徴を生かして朗読するなどして，古典の世界を楽しむこと。,7310223411100000
国語,147,(ｲ) 古典に表れたものの見方や考え方に触れ，登場人物や作者の思いなどを想像すること。,7310223411200000
国語,148,イ　言葉の特徴やきまりに関する事項,7310223412000000
国語,149,(ｱ) 話し言葉と書き言葉との違い，共通語と方言の果たす役割，敬語の働きなどについて理解すること。,7310223412100000
国語,150,(ｲ) 抽象的な概念を表す語句，類義語と対義語，同音異義語や多義的な意味を表す語句などについて理解し，語感を磨き語彙《い》を豊かにすること。,7310223412200000
国語,151,(ｳ) 文の中の文の成分の順序や照応，文の構成などについて考えること。,7310223412300000
国語,152,(ｴ) 単語の活用について理解し，助詞や助動詞などの働きに注意すること。,7310223412400000
国語,153,(ｵ) 相手や目的に応じて，話や文章の形態や展開に違いがあることを理解すること。,7310223412500000
国語,154,ウ　漢字に関する事項,7310223413000000
国語,155,(ｱ) 第１学年までに学習した常用漢字に加え，その他の常用漢字のうち350字程度から450字程度までの漢字を読むこと。,7310223413100001
国語,156,(ｲ) 学年別漢字配当表に示されている漢字を書き，文や文章の中で使うこと。　　　　　　　　　　　　　　　　　　　　　　　　　　,7310223413200000
国語,157,(2) 書写に関する次の事項について指導する。,7310223420000000
国語,158,ア　漢字の行書とそれに調和した仮名の書き方を理解して，読みやすく速く書くこと。,7310223421000000
国語,159,イ　目的や必要に応じて，楷《かい》書又は行書を選んで書くこと。,7310223422000000
国語,160,〔第３学年〕,7310230000000000
国語,161,１　目標,7310232000000000
国語,162,(1) 目的や場面に応じ，社会生活にかかわることなどについて相手や場に応じて話す能力，表現の工夫を評価して聞く能力，課題の解決に向けて話し合う能力を身に付けさせるとともに，話したり聞いたりして考えを深めようとする態度を育てる。,7310232100000000
国語,163,(2) 目的や意図に応じ，社会生活にかかわることなどについて，論理の展開を工夫して書く能力を身に付けさせるとともに，文章を書いて考えを深めようとする態度を育てる。,7310232200000000
国語,164,(3) 目的や意図に応じ，文章の展開や表現の仕方などを評価しながら読む能力を身に付けさせるとともに，読書を通して自己を向上させようとする態度を育てる。,7310232300000000
国語,165,２　内容,7310233000000000
国語,166,Ａ　話すこと・聞くこと,7310233100000000
国語,167,(1) 話すこと・聞くことの能力を育成するため，次の事項について指導する。,7310233110000000
国語,168,ア　社会生活の中から話題を決め，自分の経験や知識を整理して考えをまとめ，語句や文を効果的に使い，資料などを活用して説得力のある話をすること。,7310233111000000
国語,169,イ　場の状況や相手の様子に応じて話すとともに，敬語を適切に使うこと。,7310233112000000
国語,170,ウ　聞き取った内容や表現の仕方を評価して，自分のものの見方や考え方を深めたり，表現に生かしたりすること。,7310233113000000
国語,171,エ　話合いが効果的に展開するように進行の仕方を工夫し，課題の解決に向けて互いの考えを生かし合うこと。,7310233114000000
国語,172,(2) (1)に示す事項については，例えば，次のような言語活動を通して指導するものとする。,7310233120000000
国語,173,ア　時間や場の条件に合わせてスピーチをしたり，それを聞いて自分の表現の参考にしたりすること。,7310233121000000
国語,174,イ　社会生活の中の話題について，相手を説得するために意見を述べ合うこと。,7310233122000000
国語,175,Ｂ　書くこと,7310233200000000
国語,176,(1) 書くことの能力を育成するため，次の事項について指導する。,7310233210000000
国語,177,ア　社会生活の中から課題を決め，取材を繰り返しながら自分の考えを深めるとともに，文章の形態を選択して適切な構成を工夫すること。,7310233211000000
国語,178,イ　論理の展開を工夫し，資料を適切に引用するなどして，説得力のある文章を書くこと。,7310233212000000
国語,179,ウ　書いた文章を読み返し，文章全体を整えること。,7310233213000000
国語,180,エ　書いた文章を互いに読み合い，論理の展開の仕方や表現の仕方などについて評価して自分の表現に役立てるとともに，ものの見方や考え方を深めること。,7310233214000000
国語,181,(2) (1)に示す事項については，例えば，次のような言語活動を通して指導するものとする。,7310233220000000
国語,182,ア  関心のある事柄について批評する文章を書くこと。,7310233221000000
国語,183,イ　目的に応じて様々な文章などを集め，工夫して編集すること。,7310233222000000
国語,184,Ｃ　読むこと,7310233300000000
国語,185,(1) 読むことの能力を育成するため，次の事項について指導する。,7310233310000000
国語,186,ア　文脈の中における語句の効果的な使い方など，表現上の工夫に注意して読むこと。,7310233311000000
国語,187,イ　文章の論理の展開の仕方，場面や登場人物の設定の仕方をとらえ，内容の理解に役立てること。,7310233312000000
国語,188,ウ　文章を読み比べるなどして，構成や展開，表現の仕方について評価すること。,7310233313000000
国語,189,エ　文章を読んで人間，社会，自然などについて考え，自分の意見をもつこと。,7310233314000000
国語,190,オ　目的に応じて本や文章などを読み，知識を広げたり，自分の考えを深めたりすること。,7310233315000000
国語,191,(2) (1)に示す事項については，例えば，次のような言語活動を通して指導するものとする。,7310233320000000
国語,192,ア　物語や小説などを読んで批評すること。,7310233321000000
国語,193,イ　論説や報道などに盛り込まれた情報を比較して読むこと。,7310233322000000
国語,194,ウ　自分の読書生活を振り返り，本の選び方や読み方について考えること。,7310233323000000
国語,195,〔伝統的な言語文化と国語の特質に関する事項〕,7310233400000000
国語,196,(1) 「Ａ話すこと・聞くこと」，「Ｂ書くこと」及び「Ｃ読むこと」の指導を通して，次の事項について指導する。,7310233410000000
国語,197,ア　伝統的な言語文化に関する事項,7310233411000000
国語,198,(ｱ) 歴史的背景などに注意して古典を読み，その世界に親しむこと。,7310233411100000
国語,199,(ｲ) 古典の一節を引用するなどして，古典に関する簡単な文章を書くこと。,7310233411200000
国語,200,イ　言葉の特徴やきまりに関する事項,7310233412000000
国語,201,(ｱ) 時間の経過による言葉の変化や世代による言葉の違いを理解するとともに，敬語を社会生活の中で適切に使うこと。,7310233412100000
国語,202,(ｲ) 慣用句・四字熟語などに関する知識を広げ，和語・漢語・外来語などの使い分けに注意し，語感を磨き語を豊かにすること。,7310233412200000
国語,203,ウ　漢字に関する事項,7310233413000000
国語,204,(ｱ) 第２学年までに学習した常用漢字に加え，その他の常用漢字の大体を読むこと。,7310233413100000
