【71V11】幼稚園教育要領（平成20年告示）コード表　Ver 1.1,,,
教科等,No,教育要領テキスト,教育要領コード
ねらい及び内容,68,(6) 高齢者をはじめ地域の人々などの自分の生活に関係の深いいろいろな人と触れ合い，自分の感情や意志を表現しながら共に楽しみ，共感し合う体験を通して，これらの人々などに親しみをもち，人とかかわることの楽しさや人の役に立つ喜びを味わうことができるようにすること。また，生活を通して親や祖父母などの家族の愛情に気付き，家族を大切にしようとする気持ちが育つようにすること。,71l2005600000000
ねらい及び内容,69,"環　境
〔周囲の様々な環境に好奇心や探究心をもってかかわり，それらを生活に取り入れていこうとする力を養う。〕",71l3000000000000
ねらい及び内容,71,１　ねらい,71l3001000000000
ねらい及び内容,72,(1) 身近な環境に親しみ，自然と触れ合う中で様々な事象に興味や関心をもつ。,71l3001100000000
ねらい及び内容,73,(2) 身近な環境に自分からかかわり，発見を楽しんだり，考えたりし，それを生活に取り入れようとする。,71l3001200000000
ねらい及び内容,74,(3) 身近な事象を見たり，考えたり，扱ったりする中で，物の性質や数量，文字などに対する感覚を豊かにする。,71l3001300000000
ねらい及び内容,75,２　内　容,71l3003000000000
ねらい及び内容,76,(1) 自然に触れて生活し，その大きさ，美しさ，不思議さなどに気付く。,71l3003100000000
ねらい及び内容,77,(2) 生活の中で，様々な物に触れ，その性質や仕組みに興味や関心をもつ。,71l3003200000000
ねらい及び内容,78,(3) 季節により自然や人間の生活に変化のあることに気付く。,71l3003300000000
ねらい及び内容,79,(4) 自然などの身近な事象に関心をもち，取り入れて遊ぶ。,71l3003400000000
ねらい及び内容,80,(5) 身近な動植物に親しみをもって接し，生命の尊さに気付き，いたわったり，大切にしたりする。,71l3003500000000
ねらい及び内容,81,(6) 身近な物を大切にする。,71l3003600000000
ねらい及び内容,82,(7) 身近な物や遊具に興味をもってかかわり，考えたり，試したりして工夫して遊ぶ。,71l3003700000000
ねらい及び内容,83,(8) 日常生活の中で数量や図形などに関心をもつ。,71l3003800000000
ねらい及び内容,84,(9) 日常生活の中で簡単な標識や文字などに関心をもつ。,71l3003900000000
ねらい及び内容,85,(10) 生活に関係の深い情報や施設などに興味や関心をもつ。,71l3003A00000000
ねらい及び内容,86,(11) 幼稚園内外の行事において国旗に親しむ。,71l3003B00000000
ねらい及び内容,87,"３　内容の取扱い
　上記の取扱いに当たっては，次の事項に留意する必要がある。",71l3005000000000
ねらい及び内容,89,(1) 幼児が，遊びの中で周囲の環境とかかわり，次第に周囲の世界に好奇心を抱き，その意味や操作の仕方に関心をもち，物事の法則性に気付き，自分なりに考えることができるようになる過程を大切にすること。特に，他の幼児の考えなどに触れ，新しい考えを生み出す喜びや楽しさを味わい，自ら考えようとする気持ちが育つようにすること。,71l3005100000000
ねらい及び内容,90,(2) 幼児期において自然のもつ意味は大きく，自然の大きさ，美しさ，不思議さなどに直接触れる体験を通して，幼児の心が安らぎ，豊かな感情，好奇心，思考力，表現力の基礎が培われることを踏まえ，幼児が自然とのかかわりを深めることができるよう工夫すること。,71l3005200000000
ねらい及び内容,91,(3) 身近な事象や動植物に対する感動を伝え合い，共感し合うことなどを通して自分からかかわろうとする意欲を育てるとともに，様々なかかわり方を通してそれらに対する親しみや畏敬の念，生命を大切にする気持ち，公共心，探究心などが養われるようにすること。,71l3005300000000
ねらい及び内容,92,(4) 数量や文字などに関しては，日常生活の中で幼児自身の必要感に基づく体験を大切にし，数量や文字などに関する興味や関心，感覚が養われるようにすること。,71l3005400000000
ねらい及び内容,93,"言　葉
〔経験したことや考えたことなどを自分なりの言葉で表現し，相手の話す言葉を聞こうとする意欲や態度を育て，言葉に対する感覚や言葉で表現する力を養う。〕",71l4000000000000
ねらい及び内容,95,１　ねらい,71l4001000000000
ねらい及び内容,96,(1) 自分の気持ちを言葉で表現する楽しさを味わう。,71l4001100000000
ねらい及び内容,97,(2) 人の言葉や話などをよく聞き，自分の経験したことや考えたことを話し，伝え合う喜びを味わう。,71l4001200000000
ねらい及び内容,98,(3) 日常生活に必要な言葉が分かるようになるとともに，絵本や物語などに親しみ，先生や友達と心を通わせる。,71l4001300000000
ねらい及び内容,99,２　内　容,71l4003000000000
ねらい及び内容,100,(1) 先生や友達の言葉や話に興味や関心をもち，親しみをもって聞いたり，話したりする。,71l4003100000000
ねらい及び内容,101,(2) したり，見たり，聞いたり，感じたり，考えたりなどしたことを自分なりに言葉で表現する。,71l4003200000000
ねらい及び内容,102,(3) したいこと，してほしいことを言葉で表現したり，分からないことを尋ねたりする。,71l4003300000000
ねらい及び内容,103,(4) 人の話を注意して聞き，相手に分かるように話す。,71l4003400000000
ねらい及び内容,104,(5) 生活の中で必要な言葉が分かり，使う。,71l4003500000000
ねらい及び内容,105,(6) 親しみをもって日常のあいさつをする。,71l4003600000000
ねらい及び内容,106,(7) 生活の中で言葉の楽しさや美しさに気付く。,71l4003700000000
ねらい及び内容,107,(8) いろいろな体験を通じてイメージや言葉を豊かにする。,71l4003800000000
ねらい及び内容,108,(9) 絵本や物語などに親しみ，興味をもって聞き，想像をする楽しさを味わう。,71l4003900000000
ねらい及び内容,109,(10) 日常生活の中で，文字などで伝える楽しさを味わう。,71l4003A00000000
ねらい及び内容,110,"３　内容の取扱い
上記の取扱いに当たっては，次の事項に留意する必要がある。",71l4005000000000
ねらい及び内容,112,(1) 言葉は，身近な人に親しみをもって接し，自分の感情や意志などを伝え，それに相手が応答し，その言葉を聞くことを通して次第に獲得されていくものであることを考慮して，幼児が教師や他の幼児とかかわることにより心を動かすような体験をし，言葉を交わす喜びを味わえるようにすること。,71l4005100000000
ねらい及び内容,113,(2) 幼児が自分の思いを言葉で伝えるとともに，教師や他の幼児などの話を興味をもって注意して聞くことを通して次第に話を理解するようになっていき，言葉による伝え合いができるようにすること。,71l4005200000000
ねらい及び内容,114,(3) 絵本や物語などで，その内容と自分の経験とを結び付けたり，想像を巡らせたりするなど，楽しみを十分に味わうことによって，次第に豊かなイメージをもち，言葉に対する感覚が養われるようにすること。,71l4005300000000
ねらい及び内容,115,(4) 幼児が日常生活の中で，文字などを使いながら思ったことや考えたことを伝える喜びや楽しさを味わい，文字に対する興味や関心をもつようにすること。,71l4005400000000
ねらい及び内容,116,"表　現
〔感じたことや考えたことを自分なりに表現することを通して，豊かな感性や表現する力を養い，創造性を豊かにする。〕",71l5000000000000
ねらい及び内容,118,１　ねらい,71l5001000000000
ねらい及び内容,119,(1) いろいろなものの美しさなどに対する豊かな感性をもつ。,71l5001100000000
ねらい及び内容,120,(2) 感じたことや考えたことを自分なりに表現して楽しむ。,71l5001200000000
ねらい及び内容,121,(3) 生活の中でイメージを豊かにし，様々な表現を楽しむ。,71l5001300000000
ねらい及び内容,122,２　内容,71l5003000000000
ねらい及び内容,123,(1) 生活の中で様々な音，色，形，手触り，動きなどに気付いたり，感じたりするなどして楽しむ。,71l5003100000000
ねらい及び内容,124,(2) 生活の中で美しいものや心を動かす出来事に触れ，イメージを豊かにする。,71l5003200000000
ねらい及び内容,125,(3) 様々な出来事の中で，感動したことを伝え合う楽しさを味わう。,71l5003300000000
ねらい及び内容,126,(4) 感じたこと，考えたことなどを音や動きなどで表現したり，自由にかいたり，つくったりなどする。,71l5003400000000
ねらい及び内容,127,(5) いろいろな素材に親しみ，工夫して遊ぶ。,71l5003500000000
ねらい及び内容,128,(6) 音楽に親しみ，歌を歌ったり，簡単なリズム楽器を使ったりなどする楽しさを味わう。,71l5003600000000
ねらい及び内容,129,(7) かいたり，つくったりすることを楽しみ，遊びに使ったり，飾ったりなどする。,71l5003700000000
ねらい及び内容,130,(8) 自分のイメージを動きや言葉などで表現したり，演じて遊んだりするなどの楽しさを味わう。,71l5003800000000
ねらい及び内容,131,"３　内容の取扱い
上記の取扱いに当たっては，次の事項に留意する必要がある。",71l5005000000000
ねらい及び内容,133,(1) 豊かな感性は，自然などの身近な環境と十分にかかわる中で美しいもの，優れたもの，心を動かす出来事などに出会い，そこから得た感動を他の幼児や教師と共有し，様々に表現することなどを通して養われるようにすること。,71l5005100000000
ねらい及び内容,134,(2) 幼児の自己表現は素朴な形で行われることが多いので，教師はそのような表現を受容し，幼児自身の表現しようとする意欲を受け止めて，幼児が生活の中で幼児らしい様々な表現を楽しむことができるようにすること。,71l5005200000000
ねらい及び内容,135,(3) 生活経験や発達に応じ，自ら様々な表現を楽しみ，表現する意欲を十分に発揮させることができるように，遊具や用具などを整えたり，他の幼児の表現に触れられるよう配慮したりし，表現する過程を大切にして自己表現を楽しめるように工夫すること。,71l5005300000000
指導計画及び教育課程に係る教育時間の終了後等に行う教育活動などの留意事項,136,第３章　指導計画及び教育課程に係る教育時間の終了後等に行う教育活動などの留意事項,71m0000000000000
指導計画及び教育課程に係る教育時間の終了後等に行う教育活動などの留意事項,137,第１　指導計画の作成に当たっての留意事項,71m0000100000000
指導計画及び教育課程に係る教育時間の終了後等に行う教育活動などの留意事項,138,"　幼稚園教育は，幼児が自ら意欲をもって環境とかかわることによりつくり出される具体的な活動を通して，その目標の達成を図るものである。
　幼稚園においてはこのことを踏まえ，幼児期にふさわしい生活が展開され，適切な指導が行われるよう，次の事項に留意して調和のとれた組織的，発展的な指導計画を作成し，幼児の活動に沿った柔軟な指導を行わなければならない。",71m0000110000000
指導計画及び教育課程に係る教育時間の終了後等に行う教育活動などの留意事項,139,１　一般的な留意事項,71m0000111000000
指導計画及び教育課程に係る教育時間の終了後等に行う教育活動などの留意事項,140,(1) 指導計画は，幼児の発達に即して一人一人の幼児が幼児期にふさわしい生活を展開し，必要な体験を得られるようにするために，具体的に作成すること。,71m0000111100000
指導計画及び教育課程に係る教育時間の終了後等に行う教育活動などの留意事項,141,(2) 指導計画の作成に当たっては，次に示すところにより，具体的なねらい及び内容を明確に設定し，適切な環境を構成することなどにより活動が選択・展開されるようにすること。,71m0000111200000
指導計画及び教育課程に係る教育時間の終了後等に行う教育活動などの留意事項,142,ア　具体的なねらい及び内容は，幼稚園生活における幼児の発達の過程を見通し，幼児の生活の連続性，季節の変化などを考慮して，幼児の興味や関心，発達の実情などに応じて設定すること。,71m0000111210000
指導計画及び教育課程に係る教育時間の終了後等に行う教育活動などの留意事項,143,イ　環境は，具体的なねらいを達成するために適切なものとなるように構成し，幼児が自らその環境にかかわることにより様々な活動を展開しつつ必要な体験を得られるようにすること。その際，幼児の生活する姿や発想を大切にし，常にその環境が適切なものとなるようにすること。,71m0000111220000
指導計画及び教育課程に係る教育時間の終了後等に行う教育活動などの留意事項,144,ウ　幼児の行う具体的な活動は，生活の流れの中で様々に変化するものであることに留意し，幼児が望ましい方向に向かって自ら活動を展開していくことができるよう必要な援助をすること。,71m0000111230000
指導計画及び教育課程に係る教育時間の終了後等に行う教育活動などの留意事項,145,その際，幼児の実態及び幼児を取り巻く状況の変化などに即して指導の過程についての反省や評価を適切に行い，常に指導計画の改善を図ること。,71m0000111240000
指導計画及び教育課程に係る教育時間の終了後等に行う教育活動などの留意事項,146,(3) 幼児の生活は，入園当初の一人一人の遊びや教師との触れ合いを通して幼稚園生活に親しみ，安定していく時期から，やがて友達同士で目的をもって幼稚園生活を展開し，深めていく時期などに至るまでの過程を様々に経ながら広げられていくものであることを考慮し，活動がそれぞれの時期にふさわしく展開されるようにすること。その際，入園当初，特に，３歳児の入園については，家庭との連携を緊密にし，生活のリズムや安全面に十分配慮すること。また，認定こども園（就学前の子どもに関する教育，保育等の総合的な提供の推進に関する法律（平成18年法律第77号）第6条第2項に規定する認定こども園をいう。）である幼稚園については，幼稚園入園前の当該認定こども園における生活経験に配慮すること。,71m0000111300000
指導計画及び教育課程に係る教育時間の終了後等に行う教育活動などの留意事項,147,(4) 幼児が様々な人やものとのかかわりを通して，多様な体験をし，心身の調和のとれた発達を促すようにしていくこと。その際，心が動かされる体験が次の活動を生み出すことを考慮し，一つ一つの体験が相互に結び付き，幼稚園生活が充実するようにすること。,71m0000111400000
指導計画及び教育課程に係る教育時間の終了後等に行う教育活動などの留意事項,148,(5) 長期的に発達を見通した年，学期，月などにわたる長期の指導計画やこれとの関連を保ちながらより具体的な幼児の生活に即した週，日などの短期の指導計画を作成し，適切な指導が行われるようにすること。特に，週，日などの短期の指導計画については，幼児の生活のリズムに配慮し，幼児の意識や興味の連続性のある活動が相互に関連して幼稚園生活の自然な流れの中に組み込まれるようにすること。,71m0000111500000
指導計画及び教育課程に係る教育時間の終了後等に行う教育活動などの留意事項,149,(6) 幼児の行う活動は，個人，グループ，学級全体などで多様に展開されるものであるが，いずれの場合にも，幼稚園全体の教師による協力体制をつくりながら，一人一人の幼児が興味や欲求を十分に満足させるよう適切な援助を行うようにすること。,71m0000111600000
指導計画及び教育課程に係る教育時間の終了後等に行う教育活動などの留意事項,150,(7) 幼児の主体的な活動を促すためには，教師が多様なかかわりをもつことが重要であることを踏まえ，教師は，理解者，共同作業者など様々な役割を果たし，幼児の発達に必要な豊かな体験が得られるよう，活動の場面に応じて，適切な指導を行うようにすること。,71m0000111700000
指導計画及び教育課程に係る教育時間の終了後等に行う教育活動などの留意事項,151,(8) 幼児の生活は，家庭を基盤として地域社会を通じて次第に広がりをもつものであることに留意し，家庭との連携を十分に図るなど，幼稚園における生活が家庭や地域社会と連続性を保ちつつ展開されるようにすること。その際，地域の自然，人材，行事や公共施設などの地域の資源を積極的に活用し，幼児が豊かな生活体験を得られるように工夫すること。また，家庭との連携に当たっては，保護者との情報交換の機会を設けたり，保護者と幼児との活動の機会を設けたりなどすることを通じて，保護者の幼児期の教育に関する理解が深まるよう配慮すること。,71m0000111800000
指導計画及び教育課程に係る教育時間の終了後等に行う教育活動などの留意事項,152,(9) 幼稚園においては，幼稚園教育が，小学校以降の生活や学習の基盤の育成につながることに配慮し，幼児期にふさわしい生活を通して，創造的な思考や主体的な生活態度などの基礎を培うようにすること。,71m0000111900000
指導計画及び教育課程に係る教育時間の終了後等に行う教育活動などの留意事項,153,２　特に留意する事項,71m0000112000000
指導計画及び教育課程に係る教育時間の終了後等に行う教育活動などの留意事項,154,(1) 安全に関する指導に当たっては，情緒の安定を図り，遊びを通して状況に応じて機敏に自分の体を動かすことができるようにするとともに，危険な場所や事物などが分かり，安全についての理解を深めるようにすること。また，交通安全の習慣を身に付けるようにするとともに，災害などの緊急時に適切な行動がとれるようにするための訓練なども行うようにすること。,71m0000112100000
指導計画及び教育課程に係る教育時間の終了後等に行う教育活動などの留意事項,155,(2) 障害のある幼児の指導に当たっては，集団の中で生活することを通して全体的な発達を促していくことに配慮し，特別支援学校などの助言又は援助を活用しつつ，例えば指導についての計画又は家庭や医療，福祉などの業務を行う関係機関と連携した支援のための計画を個別に作成することなどにより，個々の幼児の障害の状態などに応じた指導内容や指導方法の工夫を計画的，組織的に行うこと。,71m0000112200000
指導計画及び教育課程に係る教育時間の終了後等に行う教育活動などの留意事項,156,(3) 幼児の社会性や豊かな人間性をはぐくむため，地域や幼稚園の実態等により，特別支援学校などの障害のある幼児との活動を共にする機会を積極的に設けるよう配慮すること。,71m0000112300000
指導計画及び教育課程に係る教育時間の終了後等に行う教育活動などの留意事項,157,(4) 行事の指導に当たっては，幼稚園生活の自然の流れの中で生活に変化や潤いを与え，幼児が主体的に楽しく活動できるようにすること。なお，それぞれの行事についてはその教育的価値を十分検討し，適切なものを精選し，幼児の負担にならないようにすること。,71m0000112400000
指導計画及び教育課程に係る教育時間の終了後等に行う教育活動などの留意事項,158,(5) 幼稚園教育と小学校教育との円滑な接続のため，幼児と児童の交流の機会を設けたり，小学校の教師との意見交換や合同の研究の機会を設けたりするなど，連携を図るようにすること。,71m0000112500000
指導計画及び教育課程に係る教育時間の終了後等に行う教育活動などの留意事項,159,第２　教育課程に係る教育時間の終了後等に行う教育活動などの留意事項,71m0000200000000
指導計画及び教育課程に係る教育時間の終了後等に行う教育活動などの留意事項,160,１　地域の実態や保護者の要請により，教育課程に係る教育時間の終了後等に希望する者を対象に行う教育活動については，幼児の心身の負担に配慮すること。また，以下の点にも留意すること。,71m0000210000000
指導計画及び教育課程に係る教育時間の終了後等に行う教育活動などの留意事項,161,(1) 教育課程に基づく活動を考慮し，幼児期にふさわしい無理のないものとなるようにすること。その際，教育課程に基づく活動を担当する教師と緊密な連携を図るようにすること。,71m0000211000000
指導計画及び教育課程に係る教育時間の終了後等に行う教育活動などの留意事項,162,(2) 家庭や地域での幼児の生活も考慮し，教育課程に係る教育時間の終了後等に行う教育活動の計画を作成するようにすること。その際，地域の様々な資源を活用しつつ，多様な体験ができるようにすること。,71m0000212000000
指導計画及び教育課程に係る教育時間の終了後等に行う教育活動などの留意事項,163,(3) 家庭との緊密な連携を図るようにすること。その際，情報交換の機会を設けたりするなど，保護者が，幼稚園と共に幼児を育てるという意識が高まるようにすること。,71m0000213000000
指導計画及び教育課程に係る教育時間の終了後等に行う教育活動などの留意事項,164,(4) 地域の実態や保護者の事情とともに幼児の生活のリズムを踏まえつつ，例えば実施日数や時間などについて，弾力的な運用に配慮すること。,71m0000214000000
指導計画及び教育課程に係る教育時間の終了後等に行う教育活動などの留意事項,165,(5) 適切な指導体制を整備した上で，幼稚園の教師の責任と指導の下に行うようにすること。,71m0000215000000
